Author; Title; Date of first Publishing; Genre; Sub-Genre; Confidence Score
Bob Wyatt;Trout Hunting: The Pursuit of Happiness;;;;100
Colin Fletcher;The Man Who Walked Through Time;1967;Unknown;Unknown;95
James Gurney;Dinotopia;1992;Fantasy;Adventure;100
Heinrich Mann;Der Untertan;;Fiction;Literary;100
Jean-Paul Sartre;Nausea;1938;Philosophical fiction;Existentialism;95
Jared Diamond; Guns Germs and Steel;; Non-fiction;;100
Leo Tolstoy;A Confession;1884;Philosophy;Spirituality;100
Frank Herbert;The Great Dune Trilogy;1965;Science Fiction;Space Opera;100
Alexandre Dumas;The Musketeers;1844;Historical Fiction;Adventure;95
Frank Miller;Batman: The Dark Knight Returns;1986;Graphic Novel;Superhero;95
Noel Streatfeild;Thursday's Child;;;;100
Frantz Fanon;Œuvres;1965;Non-Fiction;Sociopolitical;100
rocko schamoni;DORFPUNKS;unknown;novel;unknown;90
Bertrand R. Brinley;The Mad Scientists' Club;1965;Children's;Adventure;100
Thomas S. Kuhn;The Structure of Scientific Revolutions;1962;Non-fiction;Science;98
Richard Rodriguez;Hunger of Memory;1982;Nonfiction;Autobiography;100
Antoine de Saint-Exupéry;Litli prinsinn;1943;Fiction;Children's literature;95
Margaret Weis and Tracy Hickman;Dragons of Autumn Twilight;1984;Fantasy;Epic;100
Philip K. Dick; Do Androids Dream of Electric Sheep?;1968; Science Fiction; Dystopian;95
Isa Chandra Moskowitz & Terry Hope Romero;Veganomicon;2007;Cookbook; Vegan;90
Natalie Angier ;Woman ;1999;Non-fiction Science   98;Biology;90
Neal Stephenson;Fall;2019;Science Fiction;Speculative;95
Laurence J. Peter/Raymond Hull ;Das Peter-Prinzip oder die Hierarchie der Unfähigen ;1969;Non-fiction;Management;95
Bill Bryson;Walkabout;unknown;Travel;Travel writing;95
Donald N. Levine;Visions of the Sociological Tradition;1995;Non-fiction;Sociology;100
Ibram X. Kendi;How to Be an Antiracist;2019;Non-fiction;Social issues;100
The Epicurus Reader;Selected Writings and Testimonia;1994;Philosophy;Ancient Philosophy;90
Isaac Deutscher;The Prophet Armed Trotsky: 1879-1921;1954;Biography;Political;95
Karl Marlantes;Matterhorn;2010;Historical Fiction;War;100
M. V. Kratochvíl; Podivuhodné příběhy a dobrodružství Jana Kornela; unknown; Fiction; Adventure;90
Jean Craighead George;My Side of the Mountain;1959;Fiction;Young Adult;95
Douglas Adams;The Hitchhiker's Guide to the Galaxy;1979;Science Fiction;Comedy;95
G. Spencer Brown;Laws of Form;1969;Non-fiction;Mathematics and Logic;95
Rob Wilkins;Terry Pratchett: A Life With Footnotes;;Biography;Autobiography;85
Rachel Carson;Silent Spring;1962;Non-Fiction;Environment;100
George Orwell;Down and Out in Paris and London;1933;Literature;Memoir;100
Oliver Sacks;Um antropólogo em Marte;1995;Non-Fiction;Medical;100
John Hersey;Hiroshima;1946;Non-fiction;History;95
 Lewis Carroll;The Annotated Alice;1865; Fiction; Fantasy;95
Alan Watts;Out of Your Mind;2000;Philosophy;Mindfulness;90
Luigi De Marchi;SCIMMIETTA TI AMO;;Philosophy;Anthropology;90
Michael J. Glennon;National Security and Double Government;2014;Political Science;;100
Neal Stephenson;The Diamond Age  Or A Young Lady's Illustrated Primer;1995;Science Fiction; Cyberpunk;100
Andy Weir;Artemis;2017;Science Fiction;Space 90;
Richard Dawkins;The Selfish Gene;1976;Science;Genetics;100
Joxean Sagastizabal;Kutsidazu Bidea Ixabel;;Literature;Novel;95
Raymond Clemens;The Voynich Manuscript;;Mystery;Historical;95
Ruth Ben-Ghiat;Strongmen: Mussolini to the Present;2020;Non-fiction;Political History;100
THOMAS PYNCHON;Die Enden der Parabel;1973;Fiction;Historical;90
Harold Lamb;Genghis Khan: Emperor of All Men;;Biography;Historical;90
Bernd Heinrich;Mind of the Raven;Unknown;Non-fiction;Nature;95
Friedrich Glauser;Matto regiert;1936;Novel;Crime;100
KATE QUINN;THE ROSE CODE;2021;Historical Fiction;War Fiction;95
Neil Bartlett;Skin Lane;2007;Fiction;Psycho-Shocker;100
William Kotzwinkle; Fan Man;;;;100
Antoine de Saint-Exupéry;Der Kleine Prinz;1943;Children's literature;Fable;100
Greg Bear;Songs of Earth and Power;1984;Fantasy;High Fantasy;100
Robert Macfarlane;Underland;2019;Non-fiction;Nature;95
Joseph Heller;Catch-22;1961;Satire;War;100
Peter Beagle;The Last Unicorn;1968;Fantasy;High fantasy;100
Ray Bradbury;Fahrenheit 451;1953;Science Fiction;Dystopian;95
Renati Des Cartes;Meditationes De Prima Philosophia;1641;Philosophy;Metaphysics;95
Yuri Rytkheu;When the Whales Leave;2023;Fiction;Literary;95
Philip José Farmer;Die Flußwelt der Zeit;1971;Science Fiction;;100
Die drei ??? und das Gespensterschloss;Jörg-Peter Ahlers (Zirngiebel);1943;Children's literature;Mystery;95
Walter Benjamin;Pour une critique de la violence;;Essay;;90
Steve Jackson; The Citadel of Chaos;1983; Fantasy; Gamebook;90
ANNE FINE;The Diary of a Killer Cat;;Children's Fiction;Humor;95
Steve Maguire;Writing Solid Code;1993;Non-fiction;Software Development;100
Daniel Keyes; Flowers for Algernon;1966; Fiction; Science Fiction;95
Munro Leaf; The Story of Ferdinand;1936; Children's; Fiction;100
CommodoreAuthor;Commodore 64 Programmer's Reference Guide;1982; Reference; Technology;90
Italo Calvino; Herr Palomar;; Fiction;;95
Michael Bond;A Bear Called Paddington;1958;Children's Fiction;Adventure;95
David Gerrold;The Man Who Folded Himself;1973;Science Fiction;Time Travel;85
Richard M. Stallman;Free Software Free Society;;Non-fiction;Technology;90
Shel Silverstein;Where the Sidewalk Ends;1974;Poetry;Children's Literature;100
Peter Winch;The Idea of a Social Science and Its Relation to Philosophy;1958;Non-fiction;Philosophy;95
Michael Blume;Verschwörungsmythen;;Non-fiction;Conspiracy Theories;95
Silvia Federici;Caliban and the Witch;2004;Non-fiction;History;100
Timothy Leary;Flashbacks;1983;Autobiography;Memoir;95
Willard Price; South Sea Adventure;1949; Adventure; Children's;100
Erin Meyer;The Culture Map;;Business;Management;95
Anna Burns;Milkman;2018;Fiction;Literary Fiction;95
Ray Bradbury;Der illustrierte Mann;1951;Science Fiction;Anthology;100
Franz Kafka;The Metamorphosis;1915;Fiction;Existentialism;100
Rachel Carson;The Sense of Wonder;1965;Non-fiction;Environmental Literature;100
J.R.R. Tolkien;The Lord of the Rings;1954;Fantasy;High Fantasy;100
Felix S. Cohen;Handbook of Federal Indian Law;1942;Law;Indian Law;100
Robert A. Heinlein;For Us The Living;1939;Science Fiction;Speculative Fiction;100
Paul E. Ceruzzi;A History of Modern Computing;Unknown;History;Technology;95
John Perkins;Confessions of an Economic Hitman;2004;Non-fiction;Economic;100
Marshall McLuhan;Jak rozumět médiím;1964;Non-fiction;Media Studies;95
Patrick Suskind;Perfume: The Story of a Murderer;1985;Fiction;Historical Fiction;100
Jane Hirshfield;Ledger;2020;Poetry;Lyrical;95
On Va!;unknown;unknown;unknown;unknown;10
Adam Silvera; More Happy Than Not;2015; Fiction; Young Adult;100
Arthur C. Brooks;Love Your Enemies;2019;Non-fiction;Politics;100
AMOS OZ;Una storia di amore e di tenebra;2002;Fiction;Autobiographical;100
Imre Kertesz;Sin destino;1975;Fiction;Holocaust;95
Eric S. Raymond;The Cathedral & The Bazaar;1999;Non-fiction;Technology;95
James Lovelock;GAIA;1979;Non-fiction;Science;100
Colson Whitehead;The Underground Railroad;2016;Fiction;Historical Fiction;100
Longman;Illustrated Animal Encyclopedia;Unknown;Encyclopedia;Animal;85
Virginia Woolf;Orlando;1928;Fiction;Literary Fiction;100
Ian Livingstone;City of Thieves;1983;Fantasy;Fighting Fantasy;95
Theodor Storm;DER SCHIMMELREITER;1888;Fiction;Novella;95
William Golding;The Inheritors;1955;Fiction;Historical;95
Gunnel Linde;Keinutuolimatka;;;;100
The Goblin Emperor;Katherine Addison;2014;Fantasy;High Fantasy;95
 Illustrated Lyrics;The Beatles;1969; Music (Non-Fiction); Lyrics Collection;100
Wij gaan op berenjacht;Michael Rosen;1989;Children's literature;Picture book;100
Der Hexer von Salem;Wolfgang Hohlbein;unknown;Horror;Cthulhu Mythos;90
 Anastasia Krupnik;Lois Lowry;1979; Children's Literature; Coming-of-age;90
 Die Hexer-Saga;Andrzej Sapkowski;; Fantasy; High Fantasy;100
The Price of My Soul;Bernadette Devlin;1969;Non-fiction;Biography;100
Glimpses of Unfamiliar Japan;Lafcadio Hearn;1894;Non-fiction;Travel;95
The Weirdstone of Brisingamen;Alan Garner;1960;Fantasy;High Fantasy;95
Dune;Frank Herbert;1965;Science Fiction;Space ;100
Dva Divoši;Ernest Thompson Seton;;;;67
 Hackers: Heroes of the Computer Revolution;Steven Levy;1984; Non-fiction; Technology;100
Aggression als Chance;Ruediger Dahlke;;Nonfiction;Health;90
A Short History of Byzantium;John Julius Norwich;1997;History;Byzantine History;100
Ishmael;Daniel Quinn;1992;Philosophical fiction;Novel;100
 The Secret Power Within;Chuck Norris;1996; Non-fiction; Self-help;90
Cooking with Pomiane;Edouard de Pomiane;1928;Cookbook;;100
 Hymns A & M Revised;Common Prayer;;Religious Text;Christian Hymns;85
Nutshell Library;Maurice Sendak;1962;Children's;Picture Book;95
Harry Potter and the Philosopher's Stone;J.K. Rowling;1997;Fantasy;Adventure;100
 Ilias;Homer;-750; Fiction; Epic;100
A Walk Across America;Peter Jenkins;1979;Travel;Adventure;95
Why Big Fierce Animals Are Rare: An Ecologist's Perspective;Paul Colinvaux;1978;Non-Fiction;Ecology;95
 The Windup Girl;Paolo Bacigalupi;2009; Science Fiction; Dystopian;95
 A rejtély titka;S. Leacock;;;;70
The Guitar Book;Pierre Bensusan;Unknown;Non-Fiction;Music;95
The Tibetan Book of Living and Dying;Sogyal Rinpoche;1992;Spirituality;Death and Dying;95
Adamson;O. Jacobsson;Unknown;Comics;Humor;95
An Absolutely Remarkable Thing;Hank Green;2018;Fiction;Science Fiction;95
Steel Beach;John Varley;1992;Science Fiction;Dystopian;95
 The Satanic Verses;Salman Rushdie;1988; Novel; Magic Realism;100
Blueberries for Sal;Robert McCloskey;1948;Children's literature;Picture book;100
 David James Duncan;My Story as Told by Water;; Non-fiction; Nature;90
 Project Hail Mary;Andy Weir;2021; Science Fiction;;100
Crossing the Rubicon: The Decline of the American Empire at the End of the Age of Oil;Michael C. Ruppert;2004;Non-fiction;Politica;95
Lignes de Faille;Nancy Huston;2006;Fiction;Contemporary;100
First Love Last Rites;Ian McEwan;1975;Fiction;Literary Fiction;100
 Fimfarum;Jan Werich;1960; Fiction; Fairy Tales;80
Lord of a Shattered Land;Howard Andrew Jones;;Fantasy;High Fantasy;100
Kit Williams;Masquerade;1979;Fiction;Fantasy;100
Earl Boebert, James M. Blossom; Deepwater Horizon; NULL; Non-Fiction; Disaster Analysis;95
Isaac Asimov;The Foundation Trilogy;1951;Science Fiction;Space Opera;100
Julio Cortázar;Rayuela;1963;Fiction;Novel;100
Catherine Storr;Clever Polly and the Stupid Wolf;1955;Children's Literature;Animal Stories;95
Robert Graves;I Claudius;1934;Fiction;Historical;90
Vasili Aksiónov;Una Saga Moscovita;1993;Fiction;Historical Fiction;90
Dan Simmons;The Terror;2007;horror;historical fiction;95
Fern Brady;Strong Female Character;2023;Non-fiction;Memoir;95
Lisa Tetzner;Die schwarzen Brüder;1941;Historical fiction;Children's literature;95
Ros Asquith;I Was A Teenage Worrier;1991;;;70
Martin Suter;Die dunkle Seite des Mondes;2000;Fiction;Thriller;95
Erich Kästner;Emil und die Detektive;1929;Children;Detective;100
Hugo Raes;Het smaran;;;;92
Elizabeth Wurtzel;Prozac Nation;1994;Memoir;Psychology;100
Brian W. Aldiss;Helliconia: Winter;1985;Science Fiction;Fantasy;95
J.R.R. Tolkien;Das Silmarillion;1977;Fantasy;High Fantasy;100
Alex Haley;Juuret;;;;
Robert Anton Wilson; Prometheus Rising;1983; Science Fiction;Psychedelic 95;
Ed McBain;Cop Hater;1956;Fiction;Crime;100
Stewart Brand;How Buildings Learn;1994;Non-fiction;Architecture;100
D'Aulaires' ;Book of Greek Myths;1962;Mythology;Greek Mythology;95
Robert E. Howard;Conan O Barbaro;None found;Fantasy;Heroic Fantasy;100
Jake Knapp and John Zeratsky;Make Time: How to Focus on What Matters Every Day;2018;Self-help;Productivity;100
Edith Hamilton; Mythology;1942; Non-Fiction; Mythology;95
Paul Watzlawick;Wie wirklich ist die Wirklichkeit?;;Non-Fiction;Philosophy;100
Tony Perrottet;Route 66AD;;Travel;History;90
Rabbi Nathan Goldberg;Passover Haggadah;;;;
Hitler’s Willing Executioners;Daniel Jonah Goldhagen;1996;Non-Fiction;History;100
Shake Rattle and Rain;CP Lee;1995;Non-fiction;Music;100
Half of a Yellow Sun;Chimamanda Ngozi Adichie;2006;Fiction;Literary;100
The Age of Less;David Bosshart;n/a;Non-fiction;Economics;90
Amusing Ourselves to Death;Neil Postman;1985;Non-fiction;Media Studies;95
A Dictionary of Egyptian Gods and Goddesses;George Hart;;Non-fiction;Reference;95
Firestarter;Stephen King;1980;Horror;Supernatural;100
Vzpoura Mozků;Václav Šorel;;Science Fiction;Space Opera;70
UFOja Suomen taivaalla;Tapani Kuningas;No Value extraction possible;No Value extraction possible;No Value extraction possible;95
The Wolves of Memory ;George Alec Effinger ;1981;Science Fiction ;Dystopian ;95
 The C Programming Language;Brian W. Kernighan;1978; Programming; C Programming;100
Fire and the Spirits;Rennard Strickland;1982;Law;Indigenous Law;100
Gesammelte Werke;Charles Darwin;No Value;No Value;No Value;100
Operating System Concepts;Abraham Silberschatz;2001;Textbook;Computer Science;90
Interconnections: Bridges Routers Switches and Internetworking Protocols;Radia Perlman;2000;Non-Fiction;Technology;90
The Penguin Dictionary of Curious and Interesting Numbers;David Wells;1986;Reference;Mathematics;100
The Shy Stegosaurus of Cricket Creek;Evelyn Sibley Lampman;1955;Children's Fiction;Dinosaur Fiction;95
On Tyranny;Timothy Snyder;2017;Non-Fiction;History;95
The Handmaid's Tale;Margaret Atwood;1985;Science Fiction;Dystopian;100
Vesania;Kris Van Steenberge;No Value;No Value;No Value;90
Newt's Emerald;Garth Nix;No Value;No Value;No Value;100
The Demon-Haunted World;Carl Sagan;1995;Nonfiction;Science;100
Colony Mars;Gerald M. Kilby;No Value;Science Fiction;Space Exploration;95
DNS and BIND;Cricket Liu;1992;Technology;Networking;90
Under the Banner of Heaven;Jon Krakauer;2003;Non-Fiction;True Crime;100
The Third Chimpanzee;Jared Diamond;1991;Non-fiction;Science;100
Eyrie of an Eagle;Andrea Delmonico;Unknown;Fiction;Gothic;90
Ringworld; Larry Niven ;1970;Science Fiction ;Space Opera ;95
Sneakers Die Lautlosen;Dewey Gram;Keine Angabe;Film;Thriller;90
Garpin maailma;John Irving;1978;Fiction;Drama;95
Der kühne Bräutigam;Rodolphe Töpffer;No Value;No Value;No Value;90
City of Night;John Rechy;1963;No Value;No Value;100
 Tajupný Ostrov;Jules Verne; No Value; Adventure; Science Fiction;90
Dracula;Bram Stoker;1897;Horror;Gothic;100
 Practices of an Agile Developer;Venkat Subramaniam; No Value; Non-fiction; Software develoment;85
 Nonviolent Communication: A Language of Life;Marshall B. Rosenberg; No Value; Self-help; Psychology;95
Agile Web Development with Rails;Dave Thomas;No Value extraction possilbe;Technology;Web Development;90
The Colour of Magic;Terry Pratchett;1983;Fantasy;Swords and Sorcery;95
Three Laws Lethal ;David Walton ;;Science fiction;;94
 The Diary of a Young Girl;Anne Frank;1947; Biography; Memoir;95
River Kings;Cat Jarman;No Value;History;Medieval 100;
William K. Hartmann;Moons and Planets;1983;Science;Astronomy;90
Billiards at Half-Past Nine;Heinrich Böll;1959;No value extraction possible;No value extraction possible;90
Of Mice and Men;John Steinbeck;1937;Fiction;Novel;100
California;Edan Lepucki;2014;Science Fiction;Post-Apocalyptic;100
The Illuminatus! Trilogy;Robert Shea and Robert Anton Wilson;1975;Science Fiction;Conspiracy Theory;100
 Harold and the Purple Crayon;Crockett Johnson;1955; Children's literature; Picture book;95
 Lehrer-Schüler Konferenz;Thomas Gordon; No Value; No Value; No Value;100
Beelzebub's Tales to His Grandson;Gurdjieff;1924;Philosophy;Existentialism;100
How to Train a Wild Elephant;Jon Chosen Bays;No Value;Self-help;Mindfulness;100
A Short Walk In The Hindu Kush ;Eric Newby ;1958;Travel ;Adventure ;95
GROOKS;Piet Hein;No Value;No Value;No Value;90
Prozac Nation;Elizabeth Wurtzel;1994;Memoir;Psychology;100
Fair Stood the Wind for France;H.E. BATES;1944;Fiction;Historical Fiction;100
Rubyfruit Jungle;Rita Mae Brown;1973;Fiction;LGBTQ+;100
 Human-Computer Interaction;Alan Dix; No Value extraction possible; No Value extraction possible;;
 Jitterbug Perfume;Tom Robbins; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
The Great Book of Amber;Roger Zelazny;1970;Fantasy;Urban Fantasy;100
Tage Der Toten;Don Winslow;No Value;Novel;No Value;90
The Mosquito Coast;Paul Theroux;1981;Fiction;Adventure;95
Faust Erster Teil;Johann Wolfgang von Goethe;1808;Drama;Tragedy;100
In Mathe war ich immer schlecht;Albrecht Beutelspacher;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;100
A Court Divided;Deborah J. Barrow;No Value;Non-Fiction;Legal;95
To Throw Away Unopened;Viv Albertine;No Value;No Value;No Value;100
 JV Pleva/D Defoe;Robinson Crusoe;1719; Fiction; Adventure;95
The Hitchhikers Guide to the Galaxy ;Douglas Adams ;1979;Science Fiction; Comedy ;95
Josef Klír;Cesta za Adamem;No Value;No Value;No Value;95
;;2011;Science Fiction;Space Opera;
Leviathan Wakes;James S. A. Corey;;;;
;;2002;Fantasy;Horror;100
Coraline;Neil Gaiman;No Genre;No Sub-genre;;
The War Prayer;Mark Twain ;No Value;No Value;No Value;80
Until I Find You;John Irving;;Classic;Poetry;100
The Inferno;Dante;2017;Science Fiction;Space Opera;100
All Systems Red;Martha Wells; No Value; Computer Science; Scripting;95
 Classic Shell Scripting;Arnold Robbins; No Value; Non-fiction;Military 100;
 Fear Up Harsh;Tony Lagouranis; No Value extraction possible; No Value extraction possible; No Value extraction possible;100
 Logic and Databases;C.J. Date;1957;Novel;Historical Fiction;95
Doctor Zhivago;Boris Pasternak;1969;Fiction;Novel;95
The Edible Woman;Margaret Atwood;1978;Children's Literature;Animal Fiction;90
The Fox Busters;DICK KING-SMITH;1994;No Value;No Value;95
Closing Time;Joseph Heller;1890;Fiction;Gothic Fiction;95
The Picture of Dorian Gray and Other Writings;Oscar Wilde;No Value;No Value;No Value;100
Dystopia;DENNIS JÜRGENSEN;No Value extraction possilbe;Non-fiction;Environmental Science;90
Permaculture: A Designers' Manual;Bill Mollison;2011;Non-Fiction;Autobiography;100
How To Be a Woman;Caitlin Moran;No Value;No Value;No Value;95
Der gestreifte Kater und die Schwalbe Sinhà;Jorge Amado;;Fantasy;High fantasy;90
Legends & Lattes;Travis Baldree;No Value extraction possilbe;No Value extraction possible;No Value extraction possible;90
Täällä Pohjantähden alla;Väinö Linna;1977;Horror;Gothic Horror;100
The Shining;Stephen King;1989;Fantasy;High Fantasy;100
Guards! Guards!;Terry Pratchett;1946;History;World War II;95
Der SS-Staat;Eugen Kogon;No Value;History;Biography;100
A History of the Roman Empire in 21 Women;Emma Southon; No Value extraction possible; Science Fiction; No Value extraction possible;90.
 The High Frontier;Gerard K. O'Neill;No Value;No Value;No Value;95
Wise Children;Angela Carter;1988;Role-playing;General;95
GURPS Basic Set 3rd Edition Revised;Steve Jackson;No Value;History;Politics;100
How to Stop Fascism;Paul Mason;No Value;Children's Literature;Picture Book;95
The Tough Princess;Martin Waddell Patrick Benson;1984;Fantasy;Historical Fantasy;100
Bridge of Birds;Barry Hughart;1984; Business; Management;100
 The Goal;Eliyahu M. Goldratt;No Value;Fantasy;Adventure;100
The Land of Stories: An Author's Odyssey;Chris Colfer;2004;Non-fiction;History;95
Shadow Divers;Robert Kurson;No Value;Non-fiction;Diary;90
Das siebente Brennesselhemd;Ingrid Johannis;2018;Fantasy;High Fantasy;100
Spinning Silver;Naomi Novik; No Value extraction possible; No Value extraction possible; No Value extraction possible;80
 Round the Horn Before the Mast;Lubbock;1975;Non-Fiction;Psychology;90
The Structure of Magic;Richard Bandler and John Grinder;1975;Dystopian;Fiction;95
The Girl Who Owned a City;O.T. Nelson;1949;Non-fiction;Technology;100
Giant Brains or Machines That Think;Edmund C. Berkeley;1916;Fiction;Literary Fiction;95
A Portrait of the Artist as a Young Man;James Joyce;No Value;Travel;Guidebook;90
India;lonely planet;1970;Fantasy;High Fantasy;100
Nine Princes in Amber;Roger Zelazny;1961;Fiction;Satire;100
Mother Night;Kurt Vonnegut Jr;1831;No Value;No Value;90
The Hunchback of Notre-Dame;Victor Hugo;;Science Fiction;;
Caliban's War;James S. A. Corey;1605;Fiction;Novel;95
Don Quixote;Miguel de Cervantes;;Philosophy;Stoicism;100
Von der Kürze des Lebens;Seneca;1878; Fiction; Romance;90
 Anna Karenin;Leo Tolstoy;No Value;No Value;No Value;100
Europe and the People Without History;Eric R. Wolf;1937;Fiction;Novel;100
Of Mice and Men;John Steinbeck;1967;Fiction;Adventure;95
Friday;Michel Tournier; No Value; No Value; No Value;100
 Wilt;Tom Sharpe;1826;Fiction;Historical Fiction;100
Poslední Mohykán;James Fenimore Cooper;1928;War;Fiction;100
All Quiet on the Western Front;Erich Maria Remarque;;Non-fiction;Philosophy/Strategy;95
Art of War;Sun Tzu;No Value;No Value;No Value;100
Open Heart;Elie Wiesel;2014;Science Fiction;Apocalyptic;95
Station Eleven;Emily St. John Mandel; No Value; Science Fiction; Space Opera;100
 Quarter Share;Nathan Lowell;2012;Non-Fiction;Memoir;100
Sibel Edmonds;Classified Woman The Sibel Edmonds Story;No Value;Software Engineering;Programming;90
Holub on Patterns;Allen Holub;No Value extraction possilbe;Technology;Software Engineering;95
Software Engineering;Sommerville;2014;Non-fiction;Science humor;100
What If?;Randall Munroe;1988;Non-Fiction;Psychology;100
The Psychology of Everyday Things;Donald A. Norman;No Value;Non-Fiction;Semiotics;95
Der Mensch und seine Zeichen;Adrian Frutiger;No Value;Philosophy;Zen;95
Ten Zen Questions;Susan Blackmore;No Value;Thriller;Suspense;90
Going Wrong;Ruth Rendell;1986;Science Fiction;Space Opera;100
The Warrior's Apprentice;Lois McMaster Bujold;1987;Fantasy;Dark Fantasy;95
Weaveworld;Clive Barker;1948;Fiction;Coming-of-age;100
 Other Rooms;Truman Capote;1978;Fiction;Short Stories;100
Kolyma Tales;Varlam Shalamov;2002;Non-Fiction;Computers and Technology;98
Die Kunst der Täuschung;Kevin Mitnick;1982;fiction;No sub-genre;100
Julian Barnes;Before She Met Me;1943;Fiction;Fantasy;100
The Little Prince;Antoine de Saint-Exupéry;1975; Computing; Software Engineering;100
 The Mythical Man-Month;Frederick P. Brooks Jr.;No Value;Science Fiction;Speculative Fiction;100
A Psalm for the Wild-Built;Becky Chambers;No Value;Non-fiction;Health;95
NHS plc;Allyson M. Pollock;1970;History;Native American Studies;100
Bury My Heart at Wounded Knee;Dee Brown;1951;Science Fiction;Space Opera;100
Die Foundation-Trilogie;Isaac Asimov;2004;Fiction;Psychological;90
Un Secret;Philippe Grimbert;No Value;No Value;No Value;90
Essays on Individualism;Louis Dumont;1983; Fantasy; Arthurian Fantasy;100
 The Mists of Avalon;Marion Zimmer Bradley;1986; Horror; No Value;90
 ES;Stephen King;1983;Fiction;Fantasy;95
Winter's Tale;Mark Helprin; No Value; Non-Fiction; Psychology;90
 Sheila;Torey L. Hayden;1908;Fiction;Young Adult;100
Anne of Green Gables;L. M. Montgomery;1937;Travel;Travel Literature;100
The Road to Oxiana;Robert Byron;1957;No Value;No Value;100
Dandelion Wine;Ray Bradbury;No Value;Children's;Adventure;100
Fantastic Frankie and the Brain Drain Machine;Anna Kemp;1995;Fiction;Literary;100
Blindness;José Saramago;1865;Fiction;Fantasy;100
Alice's Adventures in Wonderland and Through the Looking Glass;Lewis Carroll;1956;Non-fiction;Technology;95
An Introduction to Cybernetics;W. Ross Ashby;No Value extraction possilbe;No Value extraction possilbe;No Value extraction possilbe;100
Aunts Aren't Gentlemen;P.G. Wodehouse;No Value;Children's Fiction;Picture Book;90
Little Richard;Elizabeth M. Orton;;Science Fiction;;
Abaddon's Gate;James S. A. Corey;1941;Fiction;Short Stories;95
